c	r1	r2	r3	r4
0.0189	0.128309509	0.183920469	0.0483814	
0.0379	-0.015016842		0.054008	
0.0758	0.055510511	0.04358116	0.156641	0.218231
0.1516	0.16455292	0.148619564		
0.3031	0.081209483	0.369626222	0.33112	0.415843
0.6063	0.322073449	0.401649711	0.4742707	0.744581
1.2125	0.504827382	1.016076688	0.5524907	0.847889
2.425	0.777681625	0.845424392	1.1118733	0.96052
4.85	0.89159315	1.017068403	1.0393462	0.831756
9.7	0.983410572	0.962518776	1.0035833	0.909347
19.4	0.851249174	0.917885293	0.911544	1.070629
38.8	0.915522119	0.858199749	0.7869455	
