c	r1	r2	r3
0.0114		-0.004086554	
0.0229	0.013930003	0.023207233	-0.0038393
0.0457	0.050163622	0.010829203	0.041343236
0.0914	0.036321423	0.036826798	0.035968305
0.1828	0.098328977		0.071663308
0.3656	0.170814624	0.173886784	0.148405485
0.7313	0.363136384	0.192683423	0.269328897
1.4625	0.703805966	0.552848336	0.544692915
2.925	0.906119241	0.766851903	0.831123702
5.85	0.962236974	0.941909889	0.915741122
11.7	1.014552362	1.009683313	0.99694164
23.4	0.987855287	0.950849273	0.987436403
46.8	0.83292458		0.798514884
